Orbit Number,z0,Alpha1,Alpha2,Deviation Max
89,0.0880000000000001,0.5973720881061271,0.3958413323601677,0.02184989577982494
90,0.0890000000000001,0.6231398808550658,0.40362496480343546,0.02091960829874425
91,0.0900000000000001,0.5849314205586771,0.38562135636180367,0.02110401471926346
92,0.0910000000000001,0.60165223106545,0.39871291168474216,0.020299905188562967
93,0.0920000000000001,0.6059739180523314,0.4038670355687756,0.019685071140117128
94,0.0930000000000001,0.579747822212205,0.388414202644969,0.019712222529503852
95,0.0940000000000001,0.5902295793347451,0.4005318617993338,0.018911480985880642
96,0.0950000000000001,0.6020634402499785,0.40404513906655837,0.018309872311033353
97,0.0960000000000001,0.6025872883629289,0.4095145215596805,0.01791782480677774
98,0.0970000000000001,0.6104279392590157,0.42101742798455827,0.017294069619060957
99,0.0980000000000001,0.5993176957822741,0.416757917475104,0.01706144174838725
100,0.0990000000000001,0.6116731182413625,0.42229645694707196,0.01652900344497794
101,0.1,0.5825141551114392,0.4019624709168887,0.016465359350209628
102,0.101,0.5789490340628951,0.4075274674926623,0.01612995597569932
103,0.102,0.5889838235805824,0.4131087478065631,0.015486260224718879
104,0.103,0.5783114194242527,0.4133873943057321,0.015236375438397192
105,0.104,0.5876663274850067,0.41981051153387267,0.014725836021833891
106,0.105,0.5940674258868193,0.4332148180306753,0.014166014648850051
107,0.106,0.5678997426941844,0.4106477774624289,0.014185411137061692
108,0.107,0.5750874679490836,0.42015189192616254,0.013712039038056836
109,0.108,0.5929381125526325,0.4375673994760543,0.013117957873727845
110,0.109,0.573242729522647,0.43013907596457923,0.012942767128056261
111,0.11,0.5840643941066197,0.43064426471613565,0.012493919783634328
112,0.111,0.5825548599546931,0.4361001740797568,0.01216835237349625
113,0.112,0.566548533231124,0.43018312189186403,0.011918808320959247
114,0.113,0.5673987539308996,0.4247849397216645,0.011645935904852403
115,0.114,0.556952049010676,0.42597020733996904,0.011366099734360936
116,0.115,0.5710937252992501,0.43681105565030454,0.010895768000517631
117,0.116,0.5754193805706855,0.4390610526203591,0.010556691985096756
118,0.117,0.5901064512857688,0.45992042645156844,0.01004396281852672
119,0.118,0.5491486962562646,0.42813671011517007,0.010161509167632064
120,0.119,0.548927284587279,0.4291426805305913,0.009854221433664325
121,0.12,0.5604500531776968,0.44113530509576837,0.009422702939324118
122,0.121,0.5582690189324467,0.4410815367081138,0.009177674407547333
123,0.122,0.5615558260180384,0.45135815481095165,0.008822716353010053
124,0.123,0.5417396733080595,0.440006073775722,0.008698692921419221
125,0.124,0.5684825615986497,0.46224615377471834,0.008222359350770361
126,0.125,0.5426382031260002,0.44280825984977545,0.008122077103763947
127,0.126,0.5727388221038436,0.47097363504722756,0.007676273536906687
128,0.127,0.5310185062193391,0.4434015432012477,0.007694178350379401
129,0.128,0.5536463585547394,0.45849311368199896,0.007313425373822548
130,0.129,0.545063876445792,0.4592969668162406,0.007120563524706229
131,0.13,0.5348190219335164,0.4469425574721119,0.006940919283231974
132,0.131,0.5306471621754788,0.45843933780890755,0.006704019394430641
133,0.132,0.5331595372898257,0.4519534510705329,0.006479456672377773
134,0.133,0.5522979150055827,0.465850497794173,0.006154042942536131
135,0.134,0.5381145081299217,0.46414168679632606,0.00601061117556321
136,0.135,0.5339204925318703,0.4688839623853,0.005803796682476364
137,0.136,0.5419216096854765,0.4738115257813241,0.00555233032647042
138,0.137,0.5463430790311705,0.4854812316778211,0.005323518583376342
139,0.138,0.5283573112181714,0.47065205528592713,0.005212199512434016
140,0.139,0.5260395442774052,0.4729249019625419,0.005020210245137064
141,0.14,0.524622427781418,0.47274606527964746,0.004840191662775857
142,0.141,0.5294875213623903,0.4799412273483411,0.004651312685343713
143,0.142,0.5212035024608327,0.47509404204524464,0.004501296765287115
144,0.143,0.508299273622121,0.47121689093606245,0.00436066807881232
145,0.144,0.5168389068026066,0.48185567888814473,0.004165614248331372
146,0.145,0.5205122545460797,0.48362990072956197,0.004000549759165789
147,0.146,0.5074012294659337,0.48035296430403895,0.0038667576822697274
148,0.147,0.5366304491202502,0.5069502180446106,0.0036087008183133666
149,0.148,0.5063188371543107,0.49108195741999405,0.003556532905394475
150,0.149,0.5315370997415185,0.5150282688419597,0.003313227692635159
151,0.15,0.5096375041222424,0.4949896352414186,0.0032548540876283856
152,0.151,0.5108194367282358,0.49522333821701015,0.003113606726799795
153,0.152,0.5029978302973439,0.5006414241094552,0.002980107675765936
154,0.153,0.5113839941303352,0.5048826889688272,0.0028387998408824933
155,0.154,0.5017261728000344,0.5021260155676207,0.0027226123987435466
156,0.155,0.5041359650311795,0.5018065966540328,0.0025915850798382753
157,0.156,0.48827992242639046,0.49928407563074834,0.0025044960310926802
158,0.157,0.4992636060827135,0.511362647452952,0.002368508216560458
159,0.158,0.489237362788715,0.5144966811857675,0.0022547702563705152
160,0.159,0.482139089066986,0.505883934641574,0.0021755881192460336
161,0.16,0.49398831971866847,0.5232602312178083,0.0020388911462357008
162,0.161,0.4905454010209769,0.5278853897357508,0.0019289495554100924
163,0.162,0.47961951278061266,0.5140562502622228,0.0018625596934552261
164,0.163,0.4759605673871372,0.5246233827954179,0.001753511822027
165,0.164,0.46544159213004277,0.5164385830369788,0.0016816691999044738
166,0.165,0.480944766740814,0.544264801491181,0.0015582818341315153
167,0.166,0.4690767784299658,0.5275433748201381,0.001493619290193855
168,0.167,0.469361887904425,0.5416047004722419,0.0014030113836159387
169,0.168,0.4540693742889641,0.5254742205174359,0.0013500010032653626
170,0.169,0.46217944053455745,0.544407356960883,0.001259249961856313
171,0.17,0.45717885335227704,0.546829144104226,0.0011827892110943747
172,0.171,0.4420207400768236,0.5371818406146217,0.0011326192088085404
173,0.172,0.4425926090318192,0.5471158155584066,0.00105753237004449
174,0.173,0.43100640654657896,0.547263255901548,0.0009989376654762482
175,0.174,0.4342199149662819,0.5553066077974235,0.000936638133043361
176,0.175,0.4300395434012251,0.5603732324389283,0.0008779927929365113
177,0.176,0.4391803834521059,0.5785578195273893,0.000814792257573299
178,0.177,0.4331295067868816,0.5782184338612445,0.0007735242069518496
179,0.178,0.42770942291601666,0.5871500393703972,0.0007252965064090431
180,0.179,0.4187182838586889,0.5830637757816498,0.0006861957762071284
181,0.18,0.4305312688120581,0.6043162076582264,0.0006400825921533004
182,0.181,0.4048121253214807,0.585890052001713,0.0006197124109247627
183,0.182,0.41294202570450506,0.603874634760924,0.0005821856235048316
184,0.183,0.4035273309100701,0.6056721400119285,0.0005586661359181375
185,0.184,0.4006918321859896,0.6108572203604192,0.0005370851213467476
186,0.185,0.3930344146896739,0.6043271389024776,0.00052369840821454
187,0.186,0.3975463174388837,0.6229202103532819,0.000503006419772999
188,0.187,0.3920979451455642,0.6132028095782673,0.0004955359999403422
189,0.188,0.38036452881626504,0.5973035310390115,0.0004941431333055147
190,0.189,0.3873223885591006,0.6108818106736578,0.000479599458973782
191,0.19,0.38545054696649217,0.6127160349628326,0.0004720181988925222
192,0.191,0.39221781083168294,0.6236229239265645,0.0004604536437983156
193,0.192,0.37818285870955504,0.6001794092120493,0.0004632222702821288
194,0.193,0.3848077621964501,0.6167174137063807,0.00045238483301474617
195,0.194,0.3876886621281397,0.6176012741778661,0.00044488676923163593
196,0.195,0.3814424067404061,0.6150144143416283,0.0004401650433932267
197,0.196,0.37841733099520025,0.6131225285153796,0.0004350400742263458
198,0.197,0.37764447852429095,0.6164935427074948,0.000429879551061604
199,0.198,0.37756528065401185,0.6270313980008212,0.00042100373122914015
200,0.199,0.3757419918122651,0.6279784723073536,0.0004166356743322988
201,0.2,0.36896705162272175,0.6098496267187254,0.00041722982667226425
202,0.201,0.3713914224539133,0.6297481443021458,0.00040893055413763286
203,0.202,0.3775765195982198,0.641657020718083,0.00040232879573277435
204,0.203,0.36646432688407227,0.6315149948679065,0.0004041780260067412
205,0.204,0.37111244089367046,0.637649394985573,0.00040103658777565786
206,0.205,0.3686131933936684,0.6399018019860578,0.00040073840489306204
207,0.206,0.3627842362281669,0.6413791816454764,0.0004006367294681412
208,0.207,0.36010177029253865,0.6345985699255308,0.0004025190635058439
209,0.208,0.36573989099407844,0.6454270796553203,0.00040164244580046573
210,0.209,0.35316811884005445,0.629502114779052,0.00040757982251987636
211,0.21,0.3509315259604572,0.6246444355699903,0.00041213876345415286
212,0.211,0.35815509643826765,0.6430627885581964,0.0004082044007496498
213,0.212,0.3581042309817417,0.6484829347061144,0.0004106083370713555
214,0.213,0.35201998670391155,0.6371364216453835,0.000416409159179974
215,0.214,0.3513578805631915,0.6424470241406712,0.00041795728739875426
216,0.215,0.3612711199844269,0.6619181057922447,0.0004174401350077582
217,0.216,0.3508342480287959,0.6340794917679786,0.00043106588052533137
218,0.217,0.35532697459688944,0.6461487431036749,0.0004314274782704613
219,0.218,0.3604529597517132,0.6618423047606655,0.0004316836576454548
220,0.219,0.3550295457530788,0.6574924621561138,0.0004378258569611339
221,0.22,0.3556113329563666,0.6594215204895544,0.0004436298596854297
222,0.221,0.3497146332352513,0.6445044976419887,0.000454538281961093
223,0.222,0.346741730741853,0.6392507399612115,0.0004625511457858546
224,0.223,0.34915346390639856,0.6509160655475141,0.0004636826080894628
225,0.224,0.355430269226103,0.6670183977090176,0.000465141834931582
226,0.225,0.3396471271013375,0.6369409535390738,0.0004819668957244576
227,0.226,0.36117796482148784,0.6675942025753531,0.0004769934610791022
228,0.227,0.3522189327667651,0.6589227573811186,0.0004881697452496671
229,0.228,0.35378337988511327,0.6542387102331508,0.0004945339537090313
230,0.229,0.3618766991545077,0.6592058542502243,0.0005012598221427164
231,0.229999999999998,0.3428492918319248,0.6361448613608649,0.0005190262569248472
232,0.231,0.3526285476309725,0.6520848716977264,0.0005191081479915305
233,0.232,0.35510177329614545,0.6519667364298914,0.000525918124313747
234,0.233,0.342187350736311,0.6300567243511038,0.0005445361541065486
235,0.234,0.3487499359831714,0.6494095784939442,0.0005448551550653607
236,0.235,0.3566319421913131,0.6680878440539755,0.0005458441600361311
237,0.236000000000003,0.35330803624175483,0.664146167416939,0.0005553156146477433
238,0.237,0.35256360575708523,0.6615215576649405,0.0005660863972200867
239,0.238,0.3515833125117991,0.6463769173013207,0.0005811010711586172
240,0.239,0.3495662509976043,0.6347425540996658,0.0005917387976878847
241,0.239999999999999,0.3658750664404703,0.676765522912175,0.0005831216640350252
242,0.241,0.3435836361095823,0.6462807683807186,0.0006094135036404907
243,0.242,0.35121886106869393,0.658508632065975,0.0006144028130645622
244,0.243,0.3481048735211757,0.6428305790793393,0.000631045996746332
245,0.244,0.3614959802644264,0.6633975353055919,0.0006286280711776971
246,0.245,0.35243235060235345,0.6518272099687576,0.0006448025199953869
247,0.246000000000001,0.35517735847736,0.6511920824920706,0.0006551574582204957
248,0.246999999999999,0.3500257283301653,0.6503733933837623,0.000664257183428106
249,0.248,0.34951767878306095,0.6448063402978652,0.0006803252063777802
250,0.249,0.34776815596874217,0.6520785192044702,0.0006881575735389636
251,0.25,0.3393913579481936,0.6199892002900466,0.0007145461237981581
