Orbit Number,T,Alpha1,Alpha2,Deviation Max
1,3.41566140351327,0.5412196907073127,0.4360868349272734,0.03729696912167356
2,3.41551393360797,0.549485749559882,0.4374745738562267,0.037300434231942355
3,3.41526533629329,0.5305820843439737,0.42644699483951004,0.037765411041061306
4,3.41501421540197,0.557404571671171,0.44555315946960566,0.0365993609184431
5,3.41476367667467,0.5513423857702232,0.44646548910452977,0.036711663784674387
6,3.41451371137945,0.5431371192434093,0.4402474876314955,0.03672607181314
7,3.41426431100064,0.5580491178517177,0.44086540922645956,0.036571325420305924
8,3.41401546720927,0.5648199041558711,0.4510952028758431,0.03588784264419092
9,3.41376717183919,0.5582792850773777,0.44765236042684453,0.03615221493227648
10,3.41351941691638,0.559369450539009,0.44362444195511347,0.03607112318138168
11,3.41327219463896,0.5534011989193641,0.4441692092952088,0.036166894919443
12,3.4130254973488,0.5545836432594613,0.4488323033051257,0.0360080070671996
13,3.41277931758026,0.5436752696247904,0.4443185115005106,0.03619119262602276
14,3.41253365207475,0.5450413888678405,0.44128465048867693,0.0361454203253722
15,3.41010350275466,0.5631891446795609,0.4536556841432626,0.03474011601942407
16,3.40771731845671,0.5456751990797789,0.4405702392216848,0.03454933940915293
17,3.40536976034664,0.5525460523317294,0.4494686420682913,0.033500554756440426
18,3.40305636467445,0.5371443007245971,0.4455030557893873,0.03317520006170163
19,3.40077334977434,0.5458442085034947,0.44808752212076985,0.03230305666105362
20,3.3985174778997,0.5485134637191851,0.456425488508853,0.03153464611459161
21,3.39628595086208,0.5476058688101747,0.46293404686991807,0.030801925978871957
22,3.39407633001758,0.5404098917677009,0.45006977666204195,0.030571064308213512
23,3.39188647399437,0.5577106096283958,0.46801338184688773,0.02926137390227749
24,3.38971448968925,0.5334533831925532,0.45185346094016754,0.029459365448743204
25,3.3875586930503,0.5313329446483722,0.4489573760061282,0.029061274900987682
26,3.38541757753516,0.5422342096749253,0.4602929281657732,0.02807714645722682
27,3.38328978839339,0.5415858625920313,0.4691803901056791,0.027448391894610766
28,3.3811741015209,0.5469855321545588,0.47098128518671445,0.02694286621739116
29,3.37906940597395,0.5312125790538913,0.4580567790432336,0.026869538916342434
30,3.3769746893344,0.5334393607908117,0.4654413489650999,0.026291266207175153
31,3.37488902543425,0.5170796808432129,0.44770257004051556,0.026336769018824355
32,3.37281156395848,0.5159495530637066,0.453264421737093,0.025750203392618756
33,3.37074152161052,0.5222797447105074,0.4599925996285888,0.025146644020753988
34,3.36867817452799,0.5291300728613099,0.46863129647457114,0.024504693032882496
35,3.36662085178263,0.5407450897373764,0.47724220153828195,0.023900888878398314
36,3.36456892974545,0.5377852756361677,0.4778434269218757,0.02344165421750234
37,3.36252182720304,0.5322947195583307,0.4718563549000377,0.023212564096275434
38,3.3604790010963,0.5294271482001899,0.4711883591416641,0.022814041396716986
39,3.35843994278447,0.5478838305834753,0.48992913387749015,0.021998502693480346
40,3.35640417477072,0.5172484010130479,0.4660077342556243,0.0223481072209447
41,3.35437124780479,0.5323735395481515,0.4806305494439146,0.021658989526264008
42,3.35234073832504,0.5190964094812278,0.4678766674490488,0.02160536992237802
43,3.35031224618874,0.5263272400843273,0.4780234590164288,0.02103282196095261
44,3.34828539264382,0.5214415267998449,0.477278585497218,0.020741388584627634
45,3.34625981852993,0.523843881705188,0.47687750897463055,0.02037820137942584
46,3.34423518264618,0.5216628715207511,0.4733453276587779,0.0201209057346263
47,3.34221116030786,0.5205098670541826,0.48258825343738887,0.019713996661244612
48,3.34018744204154,0.5271257390382016,0.48825595502480457,0.019274044999996794
49,3.33816373239469,0.524729481940983,0.4780199944173963,0.019038565111702013
50,3.3361397488784,0.531282131345657,0.48654767667800713,0.01867380502005671
51,3.33411522099658,0.5190573163109514,0.48399141706308113,0.018537655329313955
52,3.33208988936874,0.5099445495871984,0.47400432458690345,0.0184273336125466
53,3.33006350493173,0.4959364225054956,0.46135701504523297,0.018390692345500347
54,3.3280358282118,0.5112289900940031,0.47965364735139343,0.017767412494563418
55,3.32600662866167,0.5133931921125114,0.48842633719720674,0.017409651408620733
56,3.32397568404935,0.5032817409688469,0.47553971314365606,0.017365316914364298
57,3.32194277990503,0.5080629394349835,0.4811155555373909,0.016999109822099737
58,3.31990770900684,0.5168811234348598,0.4921101273325508,0.016603596765159538
59,3.3178702709134,0.5075558908153834,0.48545143721940637,0.01641973451293473
60,3.31583027153259,0.5112480760608681,0.49069575175632685,0.016084710658281216
61,3.31378752271814,0.5175860393749024,0.5014323234388733,0.015743636546021542
62,3.31174184190997,0.50490871352397,0.484553805207226,0.01579822542872743
63,3.30969305178587,0.5292135735927372,0.5092136956167563,0.015115791084661597
64,3.30764097995411,0.5086198129061094,0.4917379586615105,0.015181727765912133
65,3.30558545866033,0.506710118451976,0.4843624305480758,0.015065984822585313
66,3.30352632451659,0.5084940846942516,0.4933501731193921,0.014766203931600708
67,3.30146341825219,0.5157006780343685,0.5026579869083486,0.014344837172315626
68,3.2993965844795,0.4973727597977993,0.4876648836654316,0.014381891589236152
69,3.29732567148099,0.500366792297021,0.4901995515403327,0.014148435632926361
